,Target.name
LINC00634,LINC00634
FRS2,FRS2
M6PR,M6PR
TIFAB,TIFAB
C1GALT1C1,C1GALT1C1
SS18L1,SS18L1
CTCF,CTCF
GLTP,GLTP
SMC6,SMC6
HERPUD1,HERPUD1
MET,MET
DCAF13,DCAF13
NMRAL1,NMRAL1
TJP1,TJP1
C7orf50,C7orf50
DLL1,DLL1
A1CF,A1CF
ZNF513,ZNF513
RAB39A,RAB39A
SLC26A9,SLC26A9
PFN2,PFN2
CTSE,CTSE
TNKS2,TNKS2
TOX,TOX
KRT12,KRT12
NDUFB3,NDUFB3
GPX2,GPX2
COX5B,COX5B
HYAL1,HYAL1
CTSS,CTSS
KCNG3,KCNG3
ELANE,ELANE
ZNF57,ZNF57
AIRE,AIRE
LIPF,LIPF
ARHGAP1,ARHGAP1
PGF,PGF
FRS3,FRS3
MID1,MID1
TRIM39,TRIM39
GCKR,GCKR
LINC01572,LINC01572
BNIP2,BNIP2
PLEK,PLEK
AGXT2,AGXT2
TRIM56,TRIM56
SPTLC2,SPTLC2
CHRM5,CHRM5
B3GAT3,B3GAT3
WNT1,WNT1
CTSW,CTSW
DOK6,DOK6
ARPC3,ARPC3
SLC36A4,SLC36A4
PMCH,PMCH
BTBD8,BTBD8
BTNL2,BTNL2
DPM3,DPM3
ZNF367,ZNF367
WHRN,WHRN
EPHA10,EPHA10
BECN1,BECN1
ROCK2,ROCK2
ZBTB20,ZBTB20
LINC02694,LINC02694
KIF11,KIF11
ASF1B,ASF1B
ACVR1C,ACVR1C
NOSIP,NOSIP
IL1R2,IL1R2
NMUR2,NMUR2
P4HA2,P4HA2
IFI16,IFI16
AR,AR
CAPN1,CAPN1
FLAD1,FLAD1
MASP1,MASP1
STON2,STON2
AQP12A,AQP12A
TRMT10B,TRMT10B
TXNRD2,TXNRD2
TP53INP2,TP53INP2
TP63,TP63
EPOR,EPOR
KCNT1,KCNT1
CD109,CD109
OGG1,OGG1
MSR1,MSR1
HIGD2A,HIGD2A
PRL,PRL
PPIG,PPIG
STAG2,STAG2
CH25H,CH25H
SEC24C,SEC24C
FAM13A,FAM13A
NRK,NRK
FABP2,FABP2
MRTFA,MRTFA
PLAAT4,PLAAT4
CDCA7,CDCA7
NDUFS8,NDUFS8
POLD4,POLD4
SCN1A,SCN1A
ZFAND6,ZFAND6
HIPK4,HIPK4
FCRL5,FCRL5
FARSB,FARSB
BTN3A1,BTN3A1
PGRMC1,PGRMC1
KDM4B,KDM4B
EPCAM,EPCAM
FBXO15,FBXO15
THAP11,THAP11
TPM1,TPM1
ZNF747,ZNF747
SPAG7,SPAG7
AVPR1A,AVPR1A
CCL19,CCL19
CDK1,CDK1
SEMA4D,SEMA4D
GFI1,GFI1
SNF8,SNF8
CTNND1,CTNND1
SLC22A4,SLC22A4
SCN5A,SCN5A
KCNH6,KCNH6
VPS72,VPS72
NPM1,NPM1
LY9,LY9
ATP1A1,ATP1A1
ZNF174,ZNF174
ZNF317,ZNF317
CYP20A1,CYP20A1
KLHL6,KLHL6
ETS1,ETS1
MTA2,MTA2
ADAD1,ADAD1
UBE2K,UBE2K
HOPX,HOPX
PRR7-AS1,PRR7-AS1
CTNNBIP1,CTNNBIP1
TARBP1,TARBP1
GABRB1,GABRB1
PLXNA4,PLXNA4
IRF2,IRF2
STAC3,STAC3
EEF2K,EEF2K
CDK11B,CDK11B
SPANXN4,SPANXN4
ITGB1,ITGB1
HMGCS1,HMGCS1
TLR7,TLR7
SUZ12,SUZ12
TARS1,TARS1
ENTPD6,ENTPD6
KCNJ8,KCNJ8
DAO,DAO
SNX17,SNX17
FBP1,FBP1
ITGB1BP1,ITGB1BP1
CLEC12A,CLEC12A
RPS6KA6,RPS6KA6
GPR101,GPR101
PXMP2,PXMP2
KPNB1,KPNB1
CCSER1,CCSER1
MGAM,MGAM
CYP2J2,CYP2J2
ESAM,ESAM
CD177,CD177
SIRT2,SIRT2
IL1RL2,IL1RL2
CRTAM,CRTAM
GSTO1,GSTO1
CTTN,CTTN
RAB8B,RAB8B
ACE2,ACE2
BZW2,BZW2
ZNF100,ZNF100
DUSP5,DUSP5
ERBB3,ERBB3
TOMM34,TOMM34
MCTP1,MCTP1
SRMS,SRMS
MOB3A,MOB3A
UBE2L3,UBE2L3
DUT,DUT
GRPR,GRPR
CCDC141,CCDC141
B9D1,B9D1
ITGA2,ITGA2
DLD,DLD
GOLGA2,GOLGA2
SGK3,SGK3
TMEM154,TMEM154
UCK1,UCK1
EPHA5,EPHA5
NET1,NET1
BCAS1,BCAS1
PSENEN,PSENEN
SLC28A2,SLC28A2
HSPB9,HSPB9
EGFR,EGFR
RPN2,RPN2
AKR1B10,AKR1B10
BSG,BSG
PTGDS,PTGDS
TBX22,TBX22
RXFP1,RXFP1
SEMA4C,SEMA4C
ARHGAP31,ARHGAP31
RTN4RL1,RTN4RL1
B2M,B2M
LSR,LSR
BORCS8-MEF2B,BORCS8-MEF2B
DNAJB5,DNAJB5
MIR100HG,MIR100HG
ZNF98,ZNF98
ADGRG7,ADGRG7
SCNN1B,SCNN1B
POLR1A,POLR1A
VPS26C,VPS26C
GPR153,GPR153
GPHN,GPHN
KLHL32,KLHL32
PGBD1,PGBD1
PSMA8,PSMA8
KCNK12,KCNK12
CPOX,CPOX
ERP27,ERP27
ZNF556,ZNF556
CYTIP,CYTIP
CTSD,CTSD
CDC6,CDC6
MYLK-AS1,MYLK-AS1
NFATC3,NFATC3
CD47,CD47
ING4,ING4
PPP4R3A,PPP4R3A
MAN2A2,MAN2A2
A1BG,A1BG
FGF10,FGF10
NFIA,NFIA
CCN3,CCN3
GPR52,GPR52
SGK1,SGK1
ARFIP2,ARFIP2
DGKQ,DGKQ
GP1BB,GP1BB
SDHB,SDHB
BRSK1,BRSK1
RELA,RELA
PRCP,PRCP
GPR19,GPR19
NUP88,NUP88
NF2,NF2
GOPC,GOPC
STXBP2,STXBP2
NTRK1,NTRK1
TNNC1,TNNC1
AHRR,AHRR
PFKFB1,PFKFB1
PON2,PON2
RBFOX2,RBFOX2
VPS35,VPS35
OVOL1,OVOL1
SLC11A1,SLC11A1
PPID,PPID
TK1,TK1
P2RX4,P2RX4
DLG5-AS1,DLG5-AS1
LAMP2,LAMP2
APOH,APOH
CAMK2D,CAMK2D
BMP5,BMP5
NEURL3,NEURL3
MCTS1,MCTS1
DMTF1,DMTF1
RAN,RAN
TRAK2,TRAK2
SIGLEC7,SIGLEC7
LCE1B,LCE1B
EIF2AK1,EIF2AK1
VPS45,VPS45
YEATS4,YEATS4
NTRK2,NTRK2
SPTBN1,SPTBN1
PDE7B,PDE7B
RUFY4,RUFY4
ZMYM1,ZMYM1
TBXAS1,TBXAS1
SULT2B1,SULT2B1
GRM6,GRM6
DSG1,DSG1
RC3H2,RC3H2
RIMS4,RIMS4
LPL,LPL
S100A8,S100A8
AGTR2,AGTR2
RGS9,RGS9
SHB,SHB
TSN,TSN
FUT1,FUT1
MEOX2,MEOX2
SOX14,SOX14
LANCL1,LANCL1
CCDC7,CCDC7
SAA1,SAA1
GMEB1,GMEB1
HEATR9,HEATR9
TNFRSF10A,TNFRSF10A
TXNL1,TXNL1
NPHS1,NPHS1
MRPL18,MRPL18
HAUS1,HAUS1
FOLR3,FOLR3
TNFRSF25,TNFRSF25
PURG,PURG
DUSP4,DUSP4
RORA,RORA
POT1,POT1
EIF4G1,EIF4G1
DHCR7,DHCR7
CDX1,CDX1
GBP7,GBP7
MMP7,MMP7
RRP15,RRP15
SH3GL1,SH3GL1
CBLL1,CBLL1
TMEM117,TMEM117
STIM1,STIM1
MDC1,MDC1
SOBP,SOBP
NDUFS3,NDUFS3
LIG1,LIG1
LIPA,LIPA
PRPS1L1,PRPS1L1
PINK1,PINK1
HGS,HGS
RHOBTB1,RHOBTB1
LRP8,LRP8
MED6,MED6
NME3,NME3
PCK1,PCK1
PRMT8,PRMT8
PADI3,PADI3
NR5A1,NR5A1
MATN3,MATN3
IL27,IL27
DUSP14,DUSP14
POLR2H,POLR2H
TPT1-AS1,TPT1-AS1
KIN,KIN
ATP8B2,ATP8B2
PMS1,PMS1
KIRREL1,KIRREL1
TRPM5,TRPM5
AP2M1,AP2M1
ELOA2,ELOA2
MBNL1-AS1,MBNL1-AS1
PSEN2,PSEN2
NIFK,NIFK
SCN2B,SCN2B
NECTIN2,NECTIN2
PPOX,PPOX
MMP17,MMP17
ETV1,ETV1
APTR,APTR
DCXR,DCXR
NDUFB7,NDUFB7
ADGRG5,ADGRG5
VSIG10L2,VSIG10L2
CD302,CD302
ATF6,ATF6
CIITA,CIITA
ANGPTL4,ANGPTL4
TNFSF8,TNFSF8
N4BP2L1,N4BP2L1
IGSF9,IGSF9
SIGLEC11,SIGLEC11
DHX57,DHX57
GSTM1,GSTM1
NR2C2,NR2C2
CHRNA9,CHRNA9
DDX21,DDX21
AEBP1,AEBP1
TNFRSF12A,TNFRSF12A
PROC,PROC
CHP1,CHP1
CSGALNACT1,CSGALNACT1
CARD6,CARD6
DCK,DCK
SLC52A2,SLC52A2
GP1BA,GP1BA
NEDD9,NEDD9
DARS1,DARS1
PSMA5,PSMA5
SOX5,SOX5
LINC00471,LINC00471
SEMA3D,SEMA3D
ASAH2B,ASAH2B
ANO1,ANO1
DAG1,DAG1
CEACAM19,CEACAM19
CDH6,CDH6
POLB,POLB
NAA50,NAA50
METTL7A,METTL7A
KDM1B,KDM1B
CXCR1,CXCR1
RAB29,RAB29
BATF3,BATF3
BLM,BLM
ETV6,ETV6
LDHB,LDHB
ALG9,ALG9
PREP,PREP
TMEM33,TMEM33
ITM2C,ITM2C
TRIM21,TRIM21
C1orf56,C1orf56
CTNS,CTNS
